Folder,File,Accuracy,Precision,Recall,F1
Initial_Experiments,Initial_Experiments/gcvit_tiny_gcvit_tiny_long_warmup_preTrue_bs32_lr1e-06_wd0.0001_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,88.11%,87.00%,87.06%,86.62%
Initial_Experiments,Initial_Experiments/gcvit_tiny_gcvit_tiny_conservative_finetune_preTrue_bs32_lr1e-06_wd0.0005_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,87.41%,85.71%,86.35%,85.31%
Initial_Experiments,Initial_Experiments/convnextv2_tiny_convnextv2_tiny_conservative_finetune_preTrue_bs32_lr1e-06_wd0.0005_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,87.41%,85.93%,86.51%,85.53%
Initial_Experiments,Initial_Experiments/convnextv2_tiny_convnextv2_tiny_partial_freeze_preTrue_bs32_lr1e-05_wd0.0001_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,87.41%,86.25%,86.11%,85.54%
Initial_Experiments_Top_5,Initial_Experiments_Top_5/convnextv2_base_convnextv2_base_conservative_finetune_preTrue_bs16_lr5.55e-07_wd0.01_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,86.71%,85.45%,85.56%,84.89%
Initial_Experiments_Top_5_Failed,Initial_Experiments_Top_5_Failed/convnextv2_base_convnextv2_base_conservative_finetune_preTrue_bs16_lr7.5e-07_wd0.0005_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,86.71%,86.57%,85.40%,85.09%
Initial_Experiments_Top_5,Initial_Experiments_Top_5/gcvit_base_gcvit_base_conservative_finetune_preTrue_bs32_lr5.55e-07_wd0.05_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,86.01%,83.24%,84.37%,83.24%
Initial_Experiments,Initial_Experiments/gcvit_tiny_gcvit_tiny_paper_rep_preTrue_bs32_lr0.0001_wd0.0001_ls0.1_sz224_augstronger_schedStepLRScheduler.pt,86.01%,84.75%,84.37%,83.99%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_0.0001_preTrue_bs32_lr1e-05_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,86.01%,85.53%,84.52%,84.13%
Initial_Experiments,Initial_Experiments/convnextv2_tiny_convnextv2_tiny_bottom_freeze_preTrue_bs32_lr1e-05_wd0.0001_ls0.1_sz224_augstronger_schedCosineLRScheduler.pt,86.01%,85.51%,84.37%,84.34%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_5e-05_preTrue_bs32_lr5e-06_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,86.01%,83.49%,84.13%,83.23%
Initial_Experiments,Initial_Experiments/convnextv2_tiny_convnextv2_tiny_layer_decay_preTrue_bs32_lr1e-05_wd0.0001_ls0.1_sz224_augstronger_schedCosineLRScheduler.pt,86.01%,84.67%,85.16%,83.87%
Initial_Experiments,Initial_Experiments/gcvit_tiny_gcvit_tiny_aggressive_finetune_preTrue_bs32_lr5e-05_wd0.0001_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,86.01%,84.01%,84.13%,83.35%
Initial_Experiments,Initial_Experiments/convnextv2_tiny_convnextv2_tiny_bitfit_preTrue_bs32_lr0.0001_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,86.01%,85.00%,84.52%,83.41%
Initial_Experiments_Top_5_Failed,Initial_Experiments_Top_5_Failed/gcvit_base_gcvit_base_bitfit_preTrue_bs16_lr5e-05_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,86.01%,85.93%,83.97%,83.81%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_base_5e-05_preTrue_bs32_lr5e-06_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,85.31%,82.84%,83.25%,82.37%
Initial_Experiments,Initial_Experiments/gcvit_tiny_gcvit_tiny_bottom_freeze_preTrue_bs32_lr1e-05_wd0.0001_ls0.1_sz224_augstronger_schedCosineLRScheduler.pt,85.31%,85.32%,83.81%,83.21%
Initial_Experiments,Initial_Experiments/gcvit_tiny_gcvit_tiny_layer_decay_preTrue_bs32_lr1e-05_wd0.0001_ls0.1_sz224_augstronger_schedCosineLRScheduler.pt,85.31%,86.31%,83.97%,83.57%
Initial_Experiments,Initial_Experiments/gcvit_tiny_gcvit_tiny_custom_wd_preTrue_bs32_lr1e-05_wd0.0005_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,85.31%,84.09%,83.81%,82.34%
Initial_Experiments,Initial_Experiments/convnextv2_tiny_convnextv2_tiny_linear_probe_preTrue_bs32_lr0.0001_wd0.0001_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,85.31%,84.81%,83.25%,82.67%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_base_0.001_preTrue_bs32_lr0.0001_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,85.31%,82.37%,83.02%,81.76%
Initial_Experiments,Initial_Experiments/convnextv2_tiny_convnextv2_tiny_standard_finetune_preTrue_bs32_lr1e-05_wd0.0001_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,85.31%,84.93%,83.57%,83.50%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_steplr_0.0005_preTrue_bs32_lr5e-05_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,85.31%,84.20%,83.25%,83.04%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_0.0001_preTrue_bs32_lr1e-05_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,85.31%,83.00%,83.41%,82.71%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_base_0.0001_preTrue_bs32_lr1e-05_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,85.31%,82.98%,83.17%,82.42%
Initial_Experiments_Top_5,Initial_Experiments_Top_5/gcvit_base_gcvit_base_aggressive_finetune_preTrue_bs32_lr2.77e-05_wd0.01_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,85.31%,84.64%,83.57%,83.08%
Initial_Experiments_Top_5,Initial_Experiments_Top_5/gcvit_base_gcvit_base_bitfit_preTrue_bs32_lr5.55e-05_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,85.31%,83.40%,83.57%,82.82%
Initial_Experiments,Initial_Experiments/convnextv2_tiny_convnextv2_tiny_custom_wd_preTrue_bs32_lr1e-05_wd0.0005_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,85.31%,82.56%,83.17%,82.03%
Initial_Experiments,Initial_Experiments/convnextv2_tiny_convnextv2_tiny_aggressive_finetune_preTrue_bs32_lr5e-05_wd0.0001_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,84.62%,85.71%,82.30%,81.63%
Initial_Experiments_Top_5_Failed,Initial_Experiments_Top_5_Failed/gcvit_base_gcvit_base_paper_rep_preTrue_bs16_lr5e-05_wd0.0001_ls0.1_sz224_augstronger_schedStepLRScheduler.pt,84.62%,82.12%,83.10%,81.54%
Initial_Experiments_Top_5_Failed,Initial_Experiments_Top_5_Failed/gcvit_base_gcvit_base_conservative_finetune_preTrue_bs16_lr5e-07_wd0.0005_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,84.62%,82.87%,82.62%,81.88%
Initial_Experiments,Initial_Experiments/gcvit_tiny_gcvit_tiny_partial_freeze_preTrue_bs32_lr1e-05_wd0.0001_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,84.62%,82.79%,82.78%,81.57%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_steplr_0.0001_preTrue_bs32_lr1e-05_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,84.62%,82.68%,82.62%,81.72%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_steplr_0.005_preTrue_bs32_lr0.0005_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,84.62%,83.17%,82.46%,81.86%
Initial_Experiments_Top_5,Initial_Experiments_Top_5/gcvit_base_gcvit_base_paper_rep_preTrue_bs32_lr5.55e-05_wd0.01_ls0.1_sz224_augstronger_schedStepLRScheduler.pt,84.62%,82.22%,82.86%,81.70%
Initial_Experiments,Initial_Experiments/gcvit_tiny_gcvit_tiny_standard_finetune_preTrue_bs32_lr1e-05_wd0.0001_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,84.62%,84.51%,82.70%,81.94%
Initial_Experiments,Initial_Experiments/convnextv2_tiny_convnextv2_tiny_paper_rep_preTrue_bs32_lr0.0001_wd0.0001_ls0.1_sz224_augstronger_schedStepLRScheduler.pt,84.62%,82.58%,82.78%,81.85%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_base_0.0001_preTrue_bs32_lr1e-05_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,84.62%,82.35%,82.62%,81.65%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_base_0.0005_preTrue_bs32_lr5e-05_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,84.62%,83.63%,83.02%,81.99%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_0.0005_preTrue_bs32_lr5e-05_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,84.62%,82.03%,82.22%,81.23%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_0.001_preTrue_bs32_lr0.0001_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,83.92%,81.63%,82.06%,80.73%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_base_0.01_preTrue_bs32_lr0.001_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,83.92%,81.56%,81.67%,80.46%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_0.001_preTrue_bs32_lr0.0001_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,83.92%,82.07%,81.67%,80.81%
Initial_Experiments,Initial_Experiments/convnextv2_tiny_convnextv2_tiny_long_warmup_preTrue_bs32_lr1e-06_wd0.0001_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,83.92%,82.07%,81.43%,80.84%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_0.0005_preTrue_bs32_lr5e-05_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,83.92%,82.36%,81.67%,81.01%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_0.005_preTrue_bs32_lr0.0005_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,83.22%,82.27%,81.27%,78.76%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_0.05_preTrue_bs32_lr0.005_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,83.22%,78.76%,81.19%,78.16%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_steplr_0.0001_preTrue_bs32_lr1e-05_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,83.22%,80.41%,80.71%,79.77%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_steplr_0.0005_preTrue_bs32_lr5e-05_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,83.22%,81.34%,80.08%,80.06%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_steplr_0.001_preTrue_bs32_lr0.0001_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,83.22%,82.24%,80.63%,80.77%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_0.005_preTrue_bs32_lr0.0005_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,83.22%,84.39%,80.32%,79.32%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_steplr_0.001_preTrue_bs32_lr0.0001_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,83.22%,79.52%,79.68%,78.66%
Initial_Experiments_Top_5_Failed,Initial_Experiments_Top_5_Failed/gcvit_base_gcvit_base_aggressive_finetune_preTrue_bs16_lr2.5e-05_wd0.0001_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,83.22%,80.65%,80.95%,79.50%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_steplr_5e-05_preTrue_bs32_lr5e-06_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,83.22%,80.47%,81.11%,79.67%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_steplr_0.005_preTrue_bs32_lr0.0005_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,83.22%,83.35%,81.43%,79.41%
Initial_Experiments,Initial_Experiments/gcvit_tiny_gcvit_tiny_bitfit_preTrue_bs32_lr0.0001_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,83.22%,79.87%,80.08%,79.22%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_steplr_0.05_preTrue_bs32_lr0.005_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,82.52%,79.06%,79.92%,77.88%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_steplr_0.01_preTrue_bs32_lr0.001_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,82.52%,77.87%,78.97%,77.57%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_base_0.0005_preTrue_bs32_lr5e-05_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,82.52%,79.93%,79.52%,78.55%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_base_0.005_preTrue_bs32_lr0.0005_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,82.52%,80.37%,80.16%,79.12%
Initial_Experiments,Initial_Experiments/gcvit_tiny_gcvit_tiny_linear_probe_preTrue_bs32_lr0.0001_wd0.0001_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,82.52%,81.23%,79.52%,79.09%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_base_0.01_preTrue_bs32_lr0.001_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,82.52%,78.39%,79.13%,77.99%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_base_0.001_preTrue_bs32_lr0.0001_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,82.52%,81.23%,79.29%,79.41%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_base_0.005_preTrue_bs32_lr0.0005_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,81.82%,77.91%,78.89%,77.34%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_base_1e-05_preTrue_bs32_lr1.0000000000000002e-06_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,81.12%,77.50%,77.78%,76.70%
