model_name,class_set,cutoff,confidence_threshold,accuracy,true positive,true negative,false postivie,false negative,precision,recall,f1_score
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.05,0.9020979020979021,95,34,6,8,0.9405940594059405,0.9223300970873787,0.9313725490196079
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.1,0.8951048951048951,94,34,6,9,0.94,0.912621359223301,0.9261083743842364
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.15,0.8951048951048951,94,34,6,9,0.94,0.912621359223301,0.9261083743842364
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.2,0.8951048951048951,93,35,5,10,0.9489795918367347,0.9029126213592233,0.9253731343283583
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.25,0.8951048951048951,92,36,4,11,0.9583333333333334,0.8932038834951457,0.9246231155778895
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.3,0.8881118881118881,90,37,3,13,0.967741935483871,0.8737864077669902,0.9183673469387754
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.35,0.8811188811188811,89,37,3,14,0.967391304347826,0.8640776699029126,0.9128205128205128
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.4,0.8811188811188811,89,37,3,14,0.967391304347826,0.8640776699029126,0.9128205128205128
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.45,0.8461538461538461,84,37,3,19,0.9655172413793104,0.8155339805825242,0.8842105263157896
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.5,0.8391608391608392,82,38,2,21,0.9761904761904762,0.7961165048543689,0.8770053475935828
yolov8s-worldv2.pt,"['cat', 'dog']",,0.05,0.916083916083916,100,31,9,3,0.9174311926605505,0.970873786407767,0.9433962264150944
yolov8s-worldv2.pt,"['cat', 'dog']",,0.1,0.9230769230769231,99,33,7,4,0.9339622641509434,0.9611650485436893,0.9473684210526316
yolov8s-worldv2.pt,"['cat', 'dog']",,0.15,0.9230769230769231,98,34,6,5,0.9423076923076923,0.9514563106796117,0.9468599033816425
yolov8s-worldv2.pt,"['cat', 'dog']",,0.2,0.9230769230769231,97,35,5,6,0.9509803921568627,0.941747572815534,0.9463414634146341
yolov8s-worldv2.pt,"['cat', 'dog']",,0.25,0.9300699300699301,97,36,4,6,0.9603960396039604,0.941747572815534,0.9509803921568628
yolov8s-worldv2.pt,"['cat', 'dog']",,0.3,0.9230769230769231,96,36,4,7,0.96,0.9320388349514563,0.9458128078817734
yolov8s-worldv2.pt,"['cat', 'dog']",,0.35,0.9230769230769231,95,37,3,8,0.9693877551020408,0.9223300970873787,0.9452736318407962
yolov8s-worldv2.pt,"['cat', 'dog']",,0.4,0.9230769230769231,95,37,3,8,0.9693877551020408,0.9223300970873787,0.9452736318407962
yolov8s-worldv2.pt,"['cat', 'dog']",,0.45,0.916083916083916,94,37,3,9,0.9690721649484536,0.912621359223301,0.94
yolov8s-worldv2.pt,"['cat', 'dog']",,0.5,0.9090909090909091,93,37,3,10,0.96875,0.9029126213592233,0.9346733668341708
yolov8s-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.05,0.916083916083916,100,31,9,3,0.9174311926605505,0.970873786407767,0.9433962264150944
yolov8s-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.1,0.9300699300699301,99,34,6,4,0.9428571428571428,0.9611650485436893,0.951923076923077
yolov8s-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.15,0.9230769230769231,98,34,6,5,0.9423076923076923,0.9514563106796117,0.9468599033816425
